time,latitude,longitude,pitch,yaw,roll,altitude,heading,gvelocity,vvelocity,fvelocity,xaccel,yaccel,zaccel,aoa,gratio,temperature,distance
(yyyy-MM-ddTHH:mm:ssZ),(deg),(deg),(deg),(deg),(deg),(m),(deg),(km/hr),(km/hr),(km/hr),(m/s2),(m/s2),(m/s2),(deg),(ratio),(celsius),(km)
2017-04-13T15:07:12Z,51.057765,-114.127352,177,13.25,71.69,1100.94,-89.49,0.34,0,0.34,1.23,0,1.23,0,0,16.62,0
2017-04-13T15:07:13Z,51.057765,-114.127352,177,13.25,71.69,1100.69,-91.8,0,900,900,-1.23,3240,3238.77,0,0,16.62,0
2017-04-13T15:07:14Z,51.057767,-114.127355,177,13.25,71.69,1100.38,-91.46,1.03,1125,1125,3.69,810,810,0,0,16.56,0.000286111
2017-04-13T15:07:15Z,51.057767,-114.127353,177,13.25,71.69,1100.69,-91.63,0.34,-1125,1125,-2.46,-8100,0,0,0,16.56,0.000380556
2017-04-13T15:07:16Z,51.057767,-114.127355,177,13.25,71.69,1100.5,-91.11,0.34,675,675,0,6480,-1620,0,0,16.5,0.000475
2017-04-13T15:07:17Z,51.057767,-114.127355,177,13.25,71.69,1099.94,-91.31,0,2025,2025,-1.23,4860,4860,0,0,16.5,0.000475
2017-04-13T15:07:19Z,51.057768,-114.127358,177,13.25,71.69,1099.88,-91.11,1.03,225,225,3.69,-6480,-6479.99,0,0,16.44,0.000761111
2017-04-13T15:07:20Z,51.05777,-114.127358,177,13.25,71.69,1099.88,-91.11,0.68,0,0.68,-1.23,-810,-807.55,0,0,16.44,0.00095
2017-04-13T15:07:21Z,51.05777,-114.12736,177,13.25,71.69,1100.06,-91.3,0.48,-675,675,-0.72,-2430,2427.54,0,0,16.38,0.001083333
2017-04-13T15:07:22Z,51.05777,-114.12736,177,13.25,71.69,1099.56,-90.89,0,1800,1800,-1.74,8910,4050,0,0,16.38,0.001083333
2017-04-13T15:07:23Z,51.057772,-114.127362,177,13.25,71.69,1099.5,-91.66,0.84,225,225,3.01,-5670,-5669.99,0,0,16.31,0.001316667
2017-04-13T15:07:24Z,51.057772,-114.127365,177,13.25,71.69,1099.56,-90.89,0.84,-225,225,0,-1620,0,0,0,16.31,0.00155
2017-04-13T15:07:25Z,51.057772,-114.127365,177,13.25,71.69,1099.31,-90.89,0,900,900,-3.01,4050,2429.99,0,0,16.25,0.00155
2017-04-13T15:07:27Z,51.05777,-114.12737,177,13.25,71.69,1099.5,-91.31,1.45,-675,675,5.22,-5670,-809.99,0,0,16.25,0.001952778
2017-04-13T15:07:28Z,51.057768,-114.12737,177,13.25,71.69,1099.56,-91.31,0.68,-225,225,-2.76,1620,-1620,0,0,16.19,0.002141667
2017-04-13T15:07:29Z,51.057767,-114.127372,177,13.25,71.69,1099.44,-91.11,0.68,450,450,0,2430,810,0,0,16.19,0.002330556
2017-04-13T15:07:30Z,51.057767,-114.127372,177,13.25,71.69,1099.38,-91.8,0,225,225,-2.46,-810,-810,0,0,16.19,0.002330556
2017-04-13T15:07:31Z,51.057765,-114.127372,177,13.25,71.69,1099.88,-91.8,0.59,-1800,1800,2.13,-7290,5670,0,0,16.12,0.002494444
2017-04-13T15:07:32Z,51.057763,-114.12737,177,13.25,71.69,1099.5,-90.76,0.76,1350,1350,0.62,11340,-1620,0,0,16.06,0.002705556
2017-04-13T15:07:33Z,51.057762,-114.12737,177,13.25,71.69,1099.5,-91.29,0.68,0,0.68,-0.29,-4860,-4857.54,0,0,16.06,0.002894444
2017-04-13T15:07:35Z,51.057762,-114.12737,177,13.25,71.69,1099.69,-91.47,0,-675,675,-2.46,-2430,2427.54,0,0,16,0.002894444
2017-04-13T15:07:36Z,51.057762,-114.12737,177,13.25,71.69,1099.94,-90.89,0,-900,900,0,-810,810,0,0,16,0.002894444
2017-04-13T15:07:37Z,51.05776,-114.12737,177,13.25,71.69,1099.56,-91.3,0.59,1350,1350,2.13,8100,1620,0,0,15.94,0.003058333
2017-04-13T15:07:38Z,51.05776,-114.127372,177,13.25,71.69,1099.88,-91.3,0,-1125,1125,-2.13,-8910,-810,0,0,15.94,0.003058333
2017-04-13T15:07:39Z,51.057758,-114.127372,177,13.25,71.69,1100.06,-91.3,0.68,-675,675,2.46,1620,-1620,0,0,15.88,0.003247222
2017-04-13T15:07:40Z,51.057758,-114.127372,177,13.25,71.69,1100.12,-90.89,0,-225,225,-2.46,1620,-1620,0,0,15.88,0.003247222
2017-04-13T15:07:41Z,51.057757,-114.12737,177,13.25,71.69,1099.94,-91.31,0.84,675,675,3.01,3240,1620,0,0,15.88,0.003480556
2017-04-13T15:07:43Z,51.057757,-114.127368,177,13.25,71.69,1099.94,-92.05,0.48,0,0.48,-1.27,-2430,-2428.26,0,0,15.88,0.003613889
2017-04-13T15:07:44Z,51.057757,-114.12737,177,13.25,71.69,1100.25,-91.3,0.48,-1125,1125,0,-4050,4048.26,0,0,15.81,0.003747222
2017-04-13T15:07:45Z,51.057757,-114.127372,177,13.25,71.69,1099.88,-91.46,0.48,1350,1350,0,8910,810,0,0,15.81,0.003880556
2017-04-13T15:07:46Z,51.057757,-114.127372,177,13.25,71.69,1100.19,-91.11,0,-1125,1125,-1.74,-8910,-810,0,0,15.75,0.003880556
2017-04-13T15:07:47Z,51.057757,-114.127368,177,13.25,71.69,1100.31,-91.3,0.84,-450,450,3.01,2430,-2430,0,0,15.75,0.004113889
2017-04-13T15:07:48Z,51.057757,-114.127368,177,13.25,71.69,1100.25,-90.89,0,225,225,-3.01,2430,-810,0,0,15.69,0.004113889
2017-04-13T15:07:49Z,51.057757,-114.127368,177,13.25,71.69,1100.5,-91.11,0,-900,900,0,-4050,2430,0,0,15.69,0.004113889
2017-04-13T15:07:51Z,51.057758,-114.127372,177,13.25,71.69,1100.5,-91.11,1.08,0,1.08,3.89,3240,-3236.11,0,0,15.62,0.004413889
2017-04-13T15:07:52Z,51.057758,-114.127372,177,13.25,71.69,1100.44,-91.11,0,225,225,-3.89,810,806.11,0,0,15.62,0.004413889
