time,latitude,longitude,pitch,yaw,roll,altitude,heading,gvelocity,vvelocity,fvelocity,xaccel,yaccel,zaccel,aoa,gratio,temperature,distance
(yyyy-MM-ddTHH:mm:ssZ),(deg),(deg),(deg),(deg),(deg),(m),(deg),(km/s),(km/s),(km/s),(m/s2),(m/s2),(m/s2),(deg),(ratio),(celsius),(km)
2017-04-06T16:50:00Z,51.058022,-114.127527,5.19,0,1.31,1130.88,150.14,1.296,0,1.296,0.36,0,0.36,0,0,19.25,0
2017-04-06T16:50:01Z,51.058028,-114.12751,5.19,0,1.31,1131.31,147.67,4.968,-1.584,5.22,1.03,-0.44,1.09,0,-3.16,19.25,0.00138
2017-04-06T16:50:03Z,51.058033,-114.127495,5.19,0,1.31,1130.88,149.84,4.284,1.584,4.536,-0.2,0.88,-0.19,0,2.71,19.31,0.00257
2017-04-06T16:50:04Z,51.058038,-114.127473,5.19,0,1.31,1130.88,148.17,5.796,0,5.796,0.43,-0.44,0.35,0,0,19.31,0.00418
2017-04-06T16:50:05Z,51.058045,-114.127458,5.19,0,1.31,1131.12,148.35,4.608,-0.9,4.68,-0.33,-0.25,-0.31,0,-5.12,19.31,0.00546
2017-04-06T16:50:06Z,51.058048,-114.127442,5.19,0,1.31,1130.94,148.84,4.392,0.684,4.428,-0.06,0.44,-0.07,0,6.5,19.31,0.00668
2017-04-06T16:50:07Z,51.05805,-114.127433,5.19,0,1.31,1131,149.14,2.232,-0.216,2.232,-0.6,-0.25,-0.62,0,-9.84,19.31,0.0073
2017-04-06T16:50:08Z,51.05807,-114.127405,5.19,0,1.31,1131.38,150.75,10.728,-1.368,10.8,2.36,-0.31,2.38,0,-7.94,19.25,0.01028
2017-04-06T16:50:09Z,51.058085,-114.127388,5.19,0,1.31,1130.94,148.84,7.308,1.584,7.488,-0.94,0.81,-0.92,0,4.65,19.31,0.01231
2017-04-06T16:50:10Z,51.05809,-114.127382,5.19,0,1.31,1131.75,148.35,2.592,-2.916,3.924,-1.31,-1.25,-0.99,0,-0.89,19.25,0.01303
2017-04-06T16:50:11Z,51.058108,-114.127358,5.69,359.88,0.56,1131.31,148.84,9.396,1.584,9.54,1.89,1.25,1.56,0,5.97,19.31,0.01564
2017-04-06T16:50:12Z,51.058107,-114.127395,4.62,32.75,-0.12,1131.19,90.68,9.252,0.432,9.252,-0.04,-0.31,-0.08,0,20.55,19.31,0.01821
2017-04-06T16:50:13Z,51.058073,-114.12745,6,57.5,-1.56,1131.62,118.29,19.224,-1.584,19.296,2.77,-0.56,2.79,0,-12.2,19.31,0.02355
2017-04-06T16:50:14Z,51.058065,-114.127485,6.06,57.5,-1.69,1131.31,116.38,9.432,1.116,9.468,-2.72,0.75,-2.72,0,8.37,19.31,0.02617
2017-04-06T16:50:15Z,51.058067,-114.127498,6.19,61.62,-1.69,1131.38,117.28,3.42,-0.216,3.456,-1.66,-0.38,-1.68,0,-15.26,19.31,0.02712
2017-04-06T16:50:16Z,51.058068,-114.127505,-18.56,48.62,-8,1131.31,-55.2,1.8,0.216,1.836,-0.45,0.12,-0.45,0,8.04,19.31,0.02762
2017-04-06T16:50:17Z,51.058092,-114.127418,33,4.62,-16.06,1131.44,77.45,23.724,-0.432,23.724,6.09,-0.19,6.08,0,-52.71,19.31,0.03421
2017-04-06T16:50:18Z,51.058085,-114.12742,33.5,347.5,-11.94,1131.81,75.61,2.7,-1.368,3.024,-5.84,-0.25,-5.75,0,-2.01,19.31,0.03496
2017-04-06T16:50:19Z,51.058087,-114.12741,37.31,296.62,-19.69,1131.81,49.01,2.592,0,2.592,-0.03,0.38,-0.12,0,0,19.31,0.03568
2017-04-06T16:50:20Z,51.058085,-114.1274,39.75,242.44,-35,1131.31,28.32,2.592,1.8,3.168,0,0.5,0.16,0,1.45,19.31,0.0364
2017-04-06T16:50:21Z,51.058088,-114.127395,49.62,194.31,-23.44,1130.5,40.77,1.836,2.916,3.456,-0.21,0.31,0.08,0,0.63,19.31,0.03691
2017-04-06T16:50:22Z,51.05809,-114.127403,39.31,137.31,-24.31,1129.75,53.95,2.196,2.7,3.492,0.1,-0.06,0.01,0,0.81,19.31,0.03752
2017-04-06T16:50:23Z,51.0581,-114.12739,13.75,82.81,-21.94,1128.75,72.87,5.22,3.6,6.336,0.84,0.25,0.8,0,1.45,19.31,0.03897
2017-04-06T16:50:24Z,51.05811,-114.127375,12.44,59.44,-9.94,1128.81,99.17,5.508,-0.216,5.508,0.08,-1.06,-0.23,0,-24.44,19.31,0.0405
2017-04-06T16:50:25Z,51.0581,-114.127392,43.75,335.38,-20,1129,66.01,5.796,-0.684,5.832,0.08,-0.12,0.09,0,-8.59,19.31,0.04211
2017-04-06T16:50:26Z,51.058093,-114.127405,36.94,290.12,-19.12,1128.69,45.93,4.284,1.116,4.428,-0.42,0.5,-0.39,0,3.82,19.31,0.0433
2017-04-06T16:50:27Z,51.058078,-114.127427,42.69,230.06,-22.06,1128.19,34.55,8.1,1.8,8.316,1.06,0.19,1.07,0,4.5,19.31,0.04555
2017-04-06T16:50:28Z,51.058082,-114.12742,37.19,198.06,-22.88,1127.81,29.37,2.124,1.368,2.52,-1.66,-0.12,-1.6,0,1.58,19.31,0.04614
2017-04-06T16:50:29Z,51.058077,-114.127425,39.88,153.06,-22.06,1127.12,52.71,2.34,2.484,3.42,0.06,0.31,0.25,0,0.95,19.31,0.04679
2017-04-06T16:50:30Z,51.05808,-114.127418,21.5,94.12,-15.44,1126.38,90,2.124,2.7,3.456,-0.06,0.06,0.01,0,0.79,19.38,0.04738
2017-04-06T16:50:31Z,51.058085,-114.12741,16.75,29.25,-17.69,1126.38,79.95,2.916,0,2.916,0.21,-0.75,-0.15,0,0,19.31,0.04819
2017-04-06T16:50:32Z,51.058078,-114.127415,-0.94,65.12,-7.56,1126.44,175.57,2.952,-0.216,2.952,0.01,-0.06,0.01,0,-13.07,19.31,0.04901
2017-04-06T16:50:33Z,51.058068,-114.127405,-0.31,87.88,-5.75,1126.62,172.61,4.716,-0.684,4.752,0.49,-0.12,0.5,0,-6.98,19.31,0.05032
2017-04-06T16:50:34Z,51.058072,-114.127387,13.31,89.12,-10.5,1126.5,124.8,4.824,0.432,4.824,0.03,0.31,0.02,0,10.69,19.31,0.05166
2017-04-06T16:50:35Z,51.05808,-114.1274,10.94,25.88,-16.56,1126.31,74.28,4.752,0.684,4.788,-0.02,0.06,-0.01,0,7.02,19.38,0.05298
2017-04-06T16:50:36Z,51.058078,-114.127398,7.62,67.19,-2.94,1126.5,133.27,0.828,-0.684,1.08,-1.08,-0.38,-1.03,0,-1.24,19.38,0.05321
2017-04-06T16:50:37Z,51.058078,-114.127388,5.62,109.31,-8.06,1126.75,171.03,2.484,-0.9,2.628,0.46,-0.06,0.44,0,-2.76,19.38,0.0539
2017-04-06T16:50:38Z,51.058087,-114.127398,5.81,121.06,-0.12,1126.31,-178.81,4.176,1.584,4.464,0.47,0.69,0.5,0,2.65,19.38,0.05506
2017-04-06T16:50:40Z,51.058083,-114.127398,2.19,130.88,-3.69,1126.44,-138.53,1.368,-0.432,1.44,-0.78,-0.56,-0.84,0,-3.04,19.38,0.05544
2017-04-06T16:50:41Z,51.058093,-114.127372,5,122.62,-2.31,1126.94,-169.95,7.812,-1.8,8.028,1.79,-0.38,1.83,0,-4.34,19.31,0.05761
2017-04-06T16:50:42Z,51.058088,-114.127378,8.31,115.19,1.25,1126.69,174.29,2.592,0.9,2.736,-1.45,0.75,-1.46,0,2.89,19.38,0.05833
2017-04-06T16:50:43Z,51.058092,-114.127373,8.44,108.44,-0.19,1126.5,160.56,1.872,0.684,1.98,-0.2,-0.06,-0.21,0,2.77,19.38,0.05885
2017-04-06T16:50:44Z,51.058087,-114.127385,15.31,70.06,-7.62,1126.69,111.88,3.564,-0.684,3.636,0.47,-0.38,0.46,0,-5.29,19.38,0.05984
2017-04-06T16:50:45Z,51.058092,-114.127367,4.88,21.56,-7.25,1126.5,88.99,5.04,0.684,5.076,0.41,0.38,0.4,0,7.46,19.38,0.06124
2017-04-06T16:50:46Z,51.058088,-114.127375,4.19,55.06,-10.44,1126.69,111.24,2.52,-0.684,2.592,-0.7,-0.38,-0.69,0,-3.72,19.38,0.06194
2017-04-06T16:50:47Z,51.058087,-114.127388,-7,87.75,-9.88,1126.56,-148.64,3.42,0.432,3.456,0.26,0.31,0.24,0,7.63,19.38,0.06289
2017-04-06T16:50:48Z,51.058087,-114.127383,2.06,101.94,-16.56,1127,45,1.296,-1.584,2.016,-0.6,-0.56,-0.4,0,-0.81,19.38,0.06325
2017-04-06T16:50:49Z,51.058087,-114.127377,3.94,91.38,-20.88,1126.81,56.13,1.692,0.684,1.8,0.11,0.62,-0.06,0,2.48,19.38,0.06372
2017-04-06T16:50:50Z,51.05809,-114.127375,17.19,79.38,-11.69,1126.69,113.11,1.368,0.432,1.44,-0.09,-0.06,-0.1,0,3.04,19.38,0.0641
2017-04-06T16:50:51Z,51.058083,-114.127375,5.94,54.94,-10.94,1126.94,101.04,2.664,-0.9,2.808,0.36,-0.38,0.38,0,-2.94,19.38,0.06484
2017-04-06T16:50:52Z,51.058077,-114.127372,1.81,70.06,-16.5,1126.44,98.47,2.808,1.8,3.312,0.04,0.75,0.15,0,1.55,19.38,0.06562
2017-04-06T16:50:53Z,51.058067,-114.127363,3.38,84.19,-18.19,1126.75,116,4.5,-1.116,4.644,0.48,-0.81,0.37,0,-4.01,19.38,0.06687
2017-04-06T16:50:54Z,51.05805,-114.127393,7,99.69,-22.12,1126.56,17.85,10.08,0.684,10.08,1.55,0.5,1.51,0,14.93,19.38,0.06967
2017-04-06T16:50:55Z,51.058037,-114.127422,10.19,79.69,-3.94,1126.88,140.89,8.892,-1.116,8.964,-0.33,-0.5,-0.31,0,-7.91,19.38,0.07214
2017-04-06T16:50:56Z,51.05803,-114.127415,3.88,19.81,-4.06,1128.56,104.84,3.168,-6.084,6.84,-1.6,-1.38,-0.59,0,-0.52,19.38,0.07302
2017-04-06T16:50:57Z,51.058015,-114.127423,24.31,88.25,1.75,1129.94,129.32,6.372,-4.968,8.064,0.89,0.31,0.34,0,-1.28,19.38,0.07479
2017-04-06T16:50:58Z,51.058005,-114.12743,15.44,87.5,-2.75,1133.06,124.85,4.32,-11.232,12.06,-0.56,-1.75,1.11,0,-0.39,19.38,0.07599
2017-04-06T16:50:59Z,51.057983,-114.127438,22.12,35.88,1.12,1131.31,108.19,8.928,6.3,10.908,1.27,4.88,-0.31,0,1.42,19.38,0.07847
2017-04-06T16:51:00Z,51.057977,-114.127442,-0.25,279.06,2.75,1130.56,29.41,2.772,2.7,3.888,-1.71,-1,-1.96,0,1.03,19.38,0.07924
2017-04-06T16:51:01Z,51.05799,-114.127427,3.69,295.44,-1.06,1129.19,130.89,6.516,4.968,8.208,1.04,0.62,1.2,0,1.32,19.31,0.08105
